C2,R21,RCC2,MFR,Tensile Modulus,Flexural Modulus,Impact Strength
5.6,18.1,33.3,9.4,1219,1336,11.9
4.6,17.2,32.9,9.3,1318,1412,11.5
6.7,16.7,39,9.6,1307,1177,15.1
6.4,16,38.4,8,1362,1215,11.8
6.2,17,38.8,8.2,1354,1215,12.9
7.1,17,41.8,8.5,1304,1110,11.7
7.5,15.7,44.4,9.1,1367,1359,13.2
6.5,16.2,41.4,9.1,1408,1345,11.6
7.5,16.1,46.3,8.6,1310,1237,13.9
6.8,17.1,42.2,8.6,1301,1182,14.1
7.2,15.6,42.1,9.2,1396,1279,13.1
7.3,15.8,46.8,8.2,1363,1248,11.4
6.8,15.9,43.1,8.7,1347,1238,11.4
7.2,15.5,45.2,9.7,1373,1262,11.7
6.9,16.1,44.6,8.5,1407,1288,10.9
7,15.2,43.5,10,1410,1322,12.3
6.8,16.9,44.7,8.1,1337,1240,10.4
7.7,14.6,45.6,6.8,1561,1320,11
9,16,61.6,7.7,1466,1183,9.1
7.6,16.3,47.5,8.3,1475,1318,11.7
8,16.6,49.1,7.8,1521,1451,10.3
8,17.7,48.4,8.7,1358,1196,10.3
8.3,14.7,46.9,8.6,1490,1490,12.5
6.5,15.9,44.2,7.2,1369,1350,10.8
7.7,16.3,47.8,9.8,1456,1390,11.3
7.5,16,45.9,9,1452,1390,11.5
7.3,16.2,45.6,9.1,1419,1450,12.2
7.2,16.2,44.4,8.9,1429,1440,9.5
7.4,15.8,45.8,9.5,1455,1430,9.6
7.2,14.5,45.5,10,1467,1450,9.3
7,17.3,48.4,9,1393,1370,8.4
8.1,14.8,46.8,5.7,1426,1410,12.3
9.5,15.8,64.1,10,1448,1460,10.4
6.8,17.7,43,8,1362,1350,11
8.1,16.7,45.8,8.8,1357,1340,13.5
7.8,20.1,46.7,7.4,1230,1250,13.7
9.3,14.7,46.3,7.1,1504,1485,18.7
12.1,25.4,46.6244898,8.5,1076,1048,63
12,25.3,46.6244898,8.5,1097,1028,56
